Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Number.of.Passengers,Destroyed,UniqueID
20220822105773,Accident,ERA22LA377,2022-08-10,"LEHIGHTON, PA",United States,22N,,Non-Fatal,Substantial,N7695W,PIPER,PA-28-180,No,1,,Personal,0.0,0.0,0.0,1.0,Vmc,,,23-08-2022,1.0,False,PIPER PA-28-180
20220811105721,Accident,WPR22LA299,2022-08-11,"Palmer, AK",United States,,,Minor,Substantial,N987WH,ROBINSON HELICOPTER COMPANY,R44 II,No,1,Reciprocating,Personal,0.0,1.0,0.0,3.0,Vmc,,"The pilot’s failure to maintain lateral control during an off-field landing, which resulted in loss of control and an impact with terrain.",23-09-2022,4.0,False,ROBINSON HELICOPTER COMPANY R44 II
20220812105723,Accident,WPR22LA301,2022-08-11,"Laurel, MT",United States,6S8,LAUREL MUNI,Minor,Substantial,N5780F,PIPER,PA-28-140,No,1,,Personal,0.0,2.0,0.0,0.0,Vmc,,,12-09-2022,2.0,False,PIPER PA-28-140
20220812105724,Accident,ERA22FA368,2022-08-11,"Metz, WV",United States,,,Fatal,Substantial,N720RP,PIPER,PA32,No,1,,Personal,3.0,0.0,0.0,0.0,Imc,,,25-08-2022,3.0,False,PIPER PA32
20220813105729,Accident,ANC22FA066,2022-08-11,"Arctic Village, AK",United States,,,Fatal,Substantial,N3937M,PIPER,PA-12,No,1,,Personal,1.0,0.0,0.0,0.0,Vmc,,,08-09-2022,1.0,False,PIPER PA-12
20220812105726,Accident,ERA22LA369,2022-08-12,"Jamestown, NY",United States,NY89,Goose Creek Airport,Serious,Substantial,N4751F,CESSNA,172,No,1,,Instructional,0.0,0.0,2.0,0.0,Vmc,,,07-09-2022,2.0,False,CESSNA 172
20220812105727,Accident,ANC22LA065,2022-08-12,"Fairbanks, AK",United States,PAFA,Fairbanks International Airpor,Minor,Substantial,N736KP,CESSNA,R172K,No,1,Reciprocating,Positioning,0.0,1.0,0.0,0.0,Vmc,,"The pilot’s failure to maintain control of the airplane during landing. ",08-12-2022,1.0,False,CESSNA R172K
20220815105734,Accident,CEN22LA384,2022-08-12,"Kearney, NE",United States,KEAR,,Non-Fatal,Substantial,N5253P,PIPER,PA-24-250,No,1,Reciprocating,Personal,0.0,0.0,0.0,1.0,Vmc,,"The pilot’s inadequate in-flight planning that resulted in a loss of engine power due to fuel exhaustion. ",01-11-2022,1.0,False,PIPER PA-24-250
20220818105762,Accident,ANC22LA068,2022-08-12,"Sutton, AK",United States,,,Minor,Substantial,N6577A,CESSNA,180,No,1,,Personal,0.0,1.0,0.0,0.0,Vmc,,,13-10-2022,1.0,False,CESSNA 180
20220912105914,Accident,WPR22LA343,2022-08-12,"Phoenix, AZ",United States,PHX,PHOENIX SKY HARBOR INTL,Non-Fatal,Substantial,N3508K,PIPER,PA-28-140,No,1,,Personal,0.0,0.0,0.0,4.0,Vmc,,,13-09-2022,4.0,False,PIPER PA-28-140
